Date,Open,High,Low,Close
2023-01-01 19:00:00,1195.81,1203.76,1192.16,1199.83
2023-01-02 19:00:00,1200.73,1223.68,1193.93,1214.53
2023-01-03 19:00:00,1214.25,1219.3,1205.89,1214.78
2023-01-04 19:00:00,1214.8,1271.21,1213.49,1256.21
2023-01-05 19:00:00,1256.84,1258.68,1243.34,1250.3
2023-01-06 19:00:00,1251.16,1276.4,1236.44,1269.06
2023-01-07 19:00:00,1267.88,1271.13,1262.07,1264.36
2023-01-08 19:00:00,1264.36,1294.56,1257.68,1288.11
2023-01-09 19:00:00,1288.68,1344.0,1285.78,1320.5
2023-01-10 19:00:00,1321.61,1346.36,1317.15,1334.89
2023-01-11 19:00:00,1336.56,1397.0,1321.73,1390.32
2023-01-12 19:00:00,1389.88,1436.13,1364.0,1416.51
2023-01-13 19:00:00,1416.21,1464.24,1402.5,1451.39
2023-01-14 19:00:00,1451.08,1598.6,1449.63,1550.72
2023-01-15 19:00:00,1550.21,1566.94,1517.0,1552.35
2023-01-16 19:00:00,1552.34,1603.91,1522.7,1575.44
2023-01-17 19:00:00,1575.41,1606.52,1542.83,1565.38
2023-01-18 19:00:00,1564.77,1608.42,1500.58,1514.12
2023-01-19 19:00:00,1514.22,1562.44,1514.22,1552.36
2023-01-20 19:00:00,1550.32,1669.11,1543.61,1659.9
